"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 12, 2019","0.04066","0.03679","0.04893","0.03633","77.73M","10.52%"
"Aug 11, 2019","0.03679","0.03574","0.03716","0.03539","43.04M","2.92%"
"Aug 10, 2019","0.03574","0.03534","0.03676","0.03507","50.00M","1.14%"
"Aug 09, 2019","0.03534","0.03787","0.03793","0.03517","45.30M","-6.67%"
"Aug 08, 2019","0.03787","0.03687","0.03803","0.03673","47.32M","2.65%"
"Aug 07, 2019","0.03689","0.04019","0.04107","0.03650","47.12M","-8.21%"
"Aug 06, 2019","0.04019","0.04111","0.04136","0.03935","43.86M","-2.33%"
"Aug 05, 2019","0.04115","0.04441","0.04467","0.04030","48.23M","-7.34%"
"Aug 04, 2019","0.04441","0.04336","0.04496","0.04300","43.81M","2.42%"
"Aug 03, 2019","0.04336","0.04335","0.04415","0.04284","42.19M","0.03%"
"Aug 02, 2019","0.04335","0.04565","0.04715","0.04257","44.00M","-5.03%"
"Aug 01, 2019","0.04565","0.04274","0.05160","0.04222","63.45M","6.80%"
"Jul 31, 2019","0.04274","0.04603","0.04710","0.04195","44.70M","-7.16%"
"Jul 30, 2019","0.04603","0.04378","0.05181","0.04345","64.88M","5.14%"
"Jul 29, 2019","0.04378","0.04201","0.04847","0.04142","46.37M","4.22%"
"Jul 28, 2019","0.04201","0.04189","0.04263","0.04028","38.35M","0.30%"
"Jul 27, 2019","0.04189","0.04680","0.04762","0.04147","45.35M","-10.51%"
"Jul 26, 2019","0.04680","0.04205","0.05098","0.04112","81.32M","11.31%"
"Jul 25, 2019","0.04205","0.03755","0.04956","0.03751","42.59M","11.97%"
"Jul 24, 2019","0.03755","0.03781","0.03799","0.03636","39.28M","-0.67%"
"Jul 23, 2019","0.03781","0.03968","0.03980","0.03697","35.19M","-4.65%"
"Jul 22, 2019","0.03965","0.03941","0.04016","0.03773","24.07M","0.61%"
"Jul 21, 2019","0.03941","0.04211","0.04247","0.03834","30.68M","-6.41%"
"Jul 20, 2019","0.04211","0.03861","0.04488","0.03837","40.87M","9.07%"
"Jul 19, 2019","0.03861","0.03900","0.03992","0.03774","45.33M","-1.02%"
"Jul 18, 2019","0.03900","0.03455","0.04051","0.03410","50.46M","12.90%"
"Jul 17, 2019","0.03455","0.03366","0.03613","0.03212","46.42M","2.64%"
"Jul 16, 2019","0.03366","0.03923","0.03975","0.03341","53.61M","-14.26%"
"Jul 15, 2019","0.03926","0.03960","0.03967","0.03718","52.27M","-0.87%"
"Jul 14, 2019","0.03960","0.04550","0.04588","0.03958","50.33M","-12.84%"
"Jul 13, 2019","0.04543","0.04617","0.04637","0.04427","33.87M","-1.59%"
"Jul 12, 2019","0.04617","0.04396","0.04771","0.04374","52.34M","5.03%"
"Jul 11, 2019","0.04396","0.05217","0.05244","0.04360","55.62M","-15.72%"
"Jul 10, 2019","0.05216","0.05623","0.05691","0.05000","56.09M","-7.24%"
"Jul 09, 2019","0.05623","0.05764","0.05809","0.05502","51.47M","-2.44%"
"Jul 08, 2019","0.05764","0.05621","0.05852","0.05544","46.44M","2.59%"
